timestamp1,timestamp2,difference
1678995622163757000,1678995622164927000,1170000
1678995622163758000,1678995622164928000,1170000
1678995622163759000,1678995622164929000,1170000
1678995622163760000,1678995622164930000,1170000
1678995622163761000,1678995622164931000,1170000
1678995622163762000,1678995622164932000,1170000
1678995622163763000,1678995622164932000,1169000
1678995622163764000,1678995622164933000,1169000
1678995622163765000,1678995622164934000,1169000
1678995622163765000,1678995622164935000,1170000
1678995622163766000,1678995622164936000,1170000
1678995622163767000,1678995622164937000,1170000
1678995622163768000,1678995622164938000,1170000
1678995622163769000,1678995622164938000,1169000
1678995622163770000,1678995622164939000,1169000
1678995622163771000,1678995622164940000,1169000
1678995622163771000,1678995622164941000,1170000
1678995622163772000,1678995622164942000,1170000
1678995622163773000,1678995622164943000,1170000
1678995622163774000,1678995622164944000,1170000
1678995622163775000,1678995622164944000,1169000
1678995622163776000,1678995622164945000,1169000
1678995622163777000,1678995622164946000,1169000
1678995622163777000,1678995622164947000,1170000
1678995622163778000,1678995622164948000,1170000
1678995622163779000,1678995622164949000,1170000
1678995622163780000,1678995622164950000,1170000
1678995622163781000,1678995622164950000,1169000
1678995622163782000,1678995622164951000,1169000
1678995622163783000,1678995622164952000,1169000
1678995622163783000,1678995622164953000,1170000
1678995622163784000,1678995622164954000,1170000
1678995622163785000,1678995622164955000,1170000
1678995622163786000,1678995622164956000,1170000
1678995622163787000,1678995622164956000,1169000
1678995622163788000,1678995622164957000,1169000
1678995622163789000,1678995622164958000,1169000
1678995622163790000,1678995622164959000,1169000
1678995622163790000,1678995622164960000,1170000
1678995622163791000,1678995622164961000,1170000
1678995622163792000,1678995622164962000,1170000
1678995622163793000,1678995622164962000,1169000
1678995622163794000,1678995622164963000,1169000
1678995622163795000,1678995622164964000,1169000
1678995622163796000,1678995622164965000,1169000
1678995622163797000,1678995622164966000,1169000
1678995622163797000,1678995622164967000,1170000
1678995622163798000,1678995622164968000,1170000
1678995622163799000,1678995622164968000,1169000
1678995622163800000,1678995622164969000,1169000
1678995622163801000,1678995622164970000,1169000
1678995622163802000,1678995622164971000,1169000
1678995622163803000,1678995622164972000,1169000
1678995622163804000,1678995622164973000,1169000
1678995622163804000,1678995622164974000,1170000
1678995622163805000,1678995622164974000,1169000
1678995622163806000,1678995622164975000,1169000
1678995622163807000,1678995622164976000,1169000
1678995622163808000,1678995622164977000,1169000
1678995622163809000,1678995622164978000,1169000
1678995622163810000,1678995622164979000,1169000
1678995622163810000,1678995622164980000,1170000
1678995622163811000,1678995622164980000,1169000
1678995622163813000,1678995622164982000,1169000
1678995622163814000,1678995622164983000,1169000
1678995622163814000,1678995622164983000,1169000
1678995622163815000,1678995622164984000,1169000
1678995622163816000,1678995622164985000,1169000
1678995622163817000,1678995622164986000,1169000
1678995622163818000,1678995622164987000,1169000
1678995622163819000,1678995622164988000,1169000
1678995622163819000,1678995622164988000,1169000
